"PointID","x","y","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
831, 4.301885962486270e-01, -5.517242103815080e-02, 5.193283429293098e-04, -6.683884426904423e-03, 6.703546953757574e-03
857, 4.122794568538670e-01, -5.622962117195130e-02, 5.141758637939836e-04, -1.178491965913782e-02, 1.179572071753219e-02
883, 3.944020271301270e-01, -5.703297257423400e-02, 5.160895448947559e-04, -1.566575618949598e-02, 1.567413674430961e-02
909, 3.766198158264160e-01, -5.754299089312550e-02, 8.326405493497807e-05, -1.615504957107975e-02, 1.615314686417342e-02
935, 3.590588271617890e-01, -5.778745934367180e-02, 2.801902754302771e-04, -9.651973007668095e-03, 9.653571642224317e-03
961, 3.418258726596830e-01, -5.776616930961610e-02, -2.322918048474086e-04, -8.305303862389497e-03, 8.306733793739937e-03
987, 3.249974250793460e-01, -5.754758045077320e-02, 2.382558074681072e-05, 2.296017890712595e-02, -2.295645159150029e-02
1013, 3.086399734020230e-01, -5.713268741965290e-02, -3.356569488830238e-04, -8.291859889106247e-03, 8.298241147641066e-03
1039, 2.927811741828920e-01, -5.656399205327030e-02, -7.822631014423991e-04, -3.210481184589167e-02, 3.211034649529797e-02
1065, 2.774220108985900e-01, -5.587914213538170e-02, -8.041822350161823e-04, -2.008681174583420e-02, 2.010219239220171e-02
1091, 2.625653147697450e-01, -5.509970337152480e-02, 1.631515028113064e-04, 7.715683118338938e-03, -7.712595988182368e-03
1117, 2.482267022132870e-01, -5.422909930348400e-02, 1.237592836409017e-03, 3.603560212870291e-02, -3.604013015329485e-02
1143, 2.344165146350860e-01, -5.327359586954120e-02, -8.870497599162253e-05, -1.450608702815203e-02, 1.447458332063968e-02
1169, 2.210974693298340e-01, -5.226382613182070e-02, -3.517475373415996e-03, -5.258043152284513e-02, 5.269440220567337e-02
1195, 2.082438766956330e-01, -5.121721699833870e-02, 9.125164321175860e-04, 2.686877415065406e-02, -2.684945247472871e-02
1221, 1.958884000778200e-01, -5.011982470750810e-02, 3.008869540833148e-03, 3.132852983429813e-02, -3.147248272437654e-02
1247, 1.840233504772190e-01, -4.897923022508620e-02, -4.659104920129841e-03, -5.651337382282134e-02, 5.669763420552364e-02
1273, 1.725961565971370e-01, -4.781839996576310e-02, -6.501669006708270e-04, 2.226281695596692e-05, 4.555970112893689e-05
1299, 1.616173982620240e-01, -4.663335904479030e-02, 1.246515514971058e-03, 7.938078098024682e-03, -8.027468636963315e-03
1325, 1.511152982711790e-01, -4.541423544287680e-02, -1.556303055021195e-04, 4.639157097382051e-03, -4.587949708464632e-03
1351, 1.410477757453920e-01, -4.417625442147250e-02, 3.034933078653526e-03, 2.590426358804359e-02, -2.608000309565228e-02
1377, 1.314679384231570e-01, -4.290277510881420e-02, -5.693238369604422e-03, -5.370648123877725e-02, 5.398377428441226e-02
1403, 1.222792565822600e-01, -4.162334650754930e-02, -2.600781176902658e-03, -9.394098323133980e-03, 9.667712019902706e-03
1429, 1.134960949420930e-01, -4.033208265900610e-02, 8.476314822920848e-03, 5.870350353217937e-02, -5.931048122021488e-02
1455, 1.051684617996220e-01, -3.901563584804530e-02, -7.772724344639970e-03, -5.530020738613591e-02, 5.583192733117185e-02
1481, 9.719923138618471e-02, -3.769797086715700e-02, -1.146724620749631e-03, -5.223995158300853e-03, 5.342460415259776e-03
1507, 8.964005112648010e-02, -3.636518120765690e-02, 2.828711252283793e-03, 1.782819370319173e-02, -1.804667688994602e-02
1533, 8.247101306915280e-02, -3.502155095338820e-02, 1.503263947442884e-03, 1.033163980395511e-02, -1.042965236981725e-02
1559, 7.564741373062130e-02, -3.367514535784720e-02, 2.647064778557914e-03, 1.267922356447555e-02, -1.295239146530581e-02
1585, 6.917616724967959e-02, -3.232324495911600e-02, -1.376326308457361e-02, -7.214357874188737e-02, 7.342786067292448e-02
1611, 6.298619508743290e-02, -3.097752667963500e-02, 1.002032497606811e-03, 9.502510832587886e-03, -9.492315046147559e-03
1637, 5.711802840232850e-02, -2.962872758507730e-02, 9.056029892868201e-03, 3.906899022576112e-02, -4.010408378267560e-02
1663, 5.161416530609130e-02, -2.826815843582150e-02, -4.482673025197276e-03, -1.811053901985818e-02, 1.865661836680842e-02
1689, 4.642483592033390e-02, -2.690353803336620e-02, 4.867581677700399e-03, 2.149576851201199e-02, -2.201931591061251e-02
1715, 4.156750440597530e-02, -2.553076110780240e-02, 1.332390794586723e-05, -2.042199621688692e-03, 1.957259109924186e-03
1741, 3.698146343231200e-02, -2.415761165320870e-02, -1.609605410911911e-02, -5.939267603936436e-02, 6.149864967261049e-02
1767, 3.265759348869320e-02, -2.278346754610540e-02, 5.807525040730971e-04, 6.233191958683794e-03, -6.102365346138680e-03
1793, 2.861636877059940e-02, -2.140477113425730e-02, 2.123342474170296e-02, 6.276068287107238e-02, -6.624613091869740e-02
1819, 2.490270137786870e-02, -2.001537941396240e-02, -1.386666294108074e-02, -3.903315876123336e-02, 4.140656405517636e-02
1845, 2.143678069114690e-02, -1.862346194684510e-02, -1.170353626645220e-02, -3.188637119561655e-02, 3.393575905124335e-02
1871, 1.820489764213560e-02, -1.722909882664680e-02, 1.425521671235809e-02, 3.667583811703249e-02, -3.929212869299097e-02
1897, 1.524919271469120e-02, -1.582761853933330e-02, -2.966564571182510e-03, -7.971964414144198e-03, 8.458342179189324e-03
1923, 1.256430149078370e-02, -1.441901084035630e-02, -5.292758727153839e-03, -8.834140864375844e-03, 1.029304392589290e-02
1949, 1.017087697982790e-02, -1.300184894353150e-02, 4.580202962992428e-03, 7.890390262073076e-03, -9.117065330362446e-03
1975, 8.062899112701419e-03, -1.157660502940420e-02, 2.635580687604506e-03, 3.046257180823906e-03, -4.010874421815321e-03
2001, 6.177186965942380e-03, -1.014706678688530e-02, -1.308791987518550e-02, -1.958457877797772e-02, 2.347374329874501e-02
