"Time_Iter","Outer_Iter","Inner_Iter",   "rms[A_Rho]"   ,   "rms[A_RhoU]"  ,   "rms[A_RhoV]"  ,    "rms[A_E]"    ,    "rms[A_nu]"   
          0,           0,          95,      -3.205821402,      -5.637983041,      -6.125426689,      -8.576107106,      -3.964381561
          0,           0,          96,      -3.185920111,      -5.634771792,      -6.126858623,      -8.556608792,      -3.967273788
          0,           0,          97,       -3.16470984,      -5.631081969,      -6.128391642,      -8.535015824,      -3.970053816
          0,           0,          98,      -3.142623049,       -5.62694354,      -6.129991853,      -8.511900547,      -3.972732035
          0,           0,          99,      -3.120077214,      -5.622396454,      -6.131620166,      -8.487836323,      -3.975319442
          0,           0,         100,      -3.097449783,      -5.617489582,       -6.13323493,      -8.463350077,      -3.977827204
          0,           0,         101,      -3.075064726,       -5.61227922,      -6.134794601,      -8.438895503,       -3.98026627
          0,           0,         102,      -3.053188413,      -5.606827317,      -6.136260311,       -8.41484362,      -3.982647044
          0,           0,         103,      -3.032031828,      -5.601199567,      -6.137598144,      -8.391485136,      -3.984979143
          0,           0,         104,      -3.011756389,      -5.595463536,      -6.138780965,      -8.369039331,      -3.987271235
          0,           0,         105,      -2.992481305,      -5.589686923,      -6.139789628,       -8.34766556,      -3.989530961
          0,           0,         106,      -2.974291125,       -5.58393607,      -6.140613461,      -8.327474925,      -3.991764934
          0,           0,         107,      -2.957242729,      -5.578274744,      -6.141249978,      -8.308540849,      -3.993978788
          0,           0,         108,      -2.941371394,       -5.57276322,      -6.141703864,      -8.290908033,       -3.99617728
          0,           0,         109,      -2.926695843,      -5.567457651,      -6.141985354,      -8.274599718,      -3.998364408
          0,           0,         110,      -2.913222308,      -5.562409674,      -6.142108209,      -8.259623398,      -4.000543543
          0,           0,         111,      -2.900947719,      -5.557666231,       -6.14208752,      -8.245975208,      -4.002717555
          0,           0,         112,      -2.889862146,      -5.553269527,      -6.141937618,      -8.233643229,      -4.004888927
          0,           0,         113,      -2.879950616,      -5.549257101,      -6.141670307,       -8.22260992,      -4.007059851
          0,           0,         114,      -2.871194428,      -5.545661947,      -6.141293649,      -8.212853871,      -4.009232292
          0,           0,         115,       -2.86357206,       -5.54251266,      -6.140811416,      -8.204351029,      -4.011408044
          0,           0,         116,      -2.857059761,      -5.539833568,      -6.140223294,       -8.19707551,      -4.013588747
          0,           0,         117,      -2.851631884,      -5.537644845,      -6.139525789,      -8.191000099,      -4.015775903
          0,           0,         118,      -2.847261031,      -5.535962571,      -6.138713759,      -8.186096508,       -4.01797087
          0,           0,         119,      -2.843918048,       -5.53479875,      -6.137782371,      -8.182335448,      -4.020174844
          0,           0,         120,      -2.841571923,       -5.53416128,      -6.136729252,       -8.17968657,      -4.022388849
          0,           0,         121,      -2.840189606,      -5.534053875,      -6.135556559,      -8.178118306,       -4.02461372
          0,           0,         122,      -2.839735795,      -5.534475953,      -6.134272681,      -8.177597633,       -4.02685009
          0,           0,         123,      -2.840172716,      -5.535422504,      -6.132893338,      -8.178089805,      -4.029098394
          0,           0,         124,      -2.841459926,      -5.536883937,       -6.13144189,      -8.179558068,      -4.031358876
          0,           0,         125,      -2.843554163,      -5.538845949,      -6.129948754,      -8.181963372,      -4.033631613
          0,           0,         126,       -2.84640928,      -5.541289404,      -6.128449957,      -8.185264127,      -4.035916553
          0,           0,         127,      -2.849976293,      -5.544190261,      -6.126984904,      -8.189416007,      -4.038213557
          0,           0,         128,      -2.854203569,      -5.547519561,      -6.125593543,      -8.194371838,       -4.04052246
          0,           0,         129,      -2.859037187,      -5.551243492,      -6.124313156,      -8.200081595,      -4.042843127
          0,           0,         130,      -2.864421495,      -5.555323552,      -6.123175008,      -8.206492539,      -4.045175514
          0,           0,         131,      -2.870299894,      -5.559716819,      -6.122201083,      -8.213549515,      -4.047519725
          0,           0,         132,      -2.876615841,      -5.564376344,      -6.121401132,       -8.22119545,      -4.049876052
          0,           0,         133,      -2.883314088,      -5.569251672,      -6.120770208,      -8.229372056,      -4.052245012
          0,           0,         134,       -2.89034213,      -5.574289482,       -6.12028687,       -8.23802076,      -4.054627293
          0,           0,         135,      -2.897651823,      -5.579434351,       -6.11991219,      -8.247083856,       -4.05702398
          0,           0,         136,      -2.905201122,      -5.584629603,      -6.119589723,      -8.256505869,      -4.059436226
          0,           0,         137,      -2.912955837,      -5.589818238,      -6.119246564,      -8.266235073,      -4.061865368
          0,           0,         138,      -2.920891336,      -5.594943875,      -6.118795595,      -8.276225116,      -4.064312846
          0,           0,         139,      -2.928994061,      -5.599951684,       -6.11813898,       -8.28643664,      -4.066780136
          0,           0,         140,      -2.937262737,      -5.604789243,      -6.117172879,      -8.296838779,      -4.069268669
          0,           0,         141,      -2.945709158,       -5.60940727,      -6.115793186,      -8.307410383,      -4.071779754
          0,           0,         142,      -2.954358431,      -5.613760177,      -6.113901989,      -8.318140779,      -4.074314506
          0,           0,         143,      -2.963248542,      -5.617806407,      -6.111414228,      -8.329029866,      -4.076873783
          0,           0,         144,      -2.972429155,      -5.621508522,      -6.108263934,      -8.340087319,      -4.079458133
          0,           0,         145,      -2.981959465,      -5.624833029,      -6.104409373,      -8.351330627,      -4.082067757
          0,           0,         146,       -2.99190495,      -5.627749955,       -6.09983648,      -8.362781672,      -4.084702496
          0,           0,         147,       -3.00233274,      -5.630232198,       -6.09456018,      -8.374461462,      -4.087361826
          0,           0,         148,      -3.013305213,       -5.63225469,      -6.088623465,      -8.386382567,      -4.090044878
          0,           0,         149,      -3.024871228,      -5.633793463,      -6.082094397,      -8.398538693,      -4.092750467
          0,           0,         150,      -3.037054196,      -5.634824671,      -6.075061489,      -8.410890732,      -4.095477139
          0,           0,         151,      -3.049835911,      -5.635323684,      -6.067628077,      -8.423348639,       -4.09822322
          0,           0,         152,      -3.063134903,       -5.63526434,      -6.059906331,      -8.435748783,      -4.100986873
          0,           0,         153,      -3.076778201,      -5.634618472,       -6.05201148,      -8.447827244,      -4.103766158
          0,           0,         154,      -3.090466274,      -5.633355789,      -6.044056701,      -8.459191521,      -4.106559085
          0,           0,         155,       -3.10373345,      -5.631444221,      -6.036148904,      -8.469296546,      -4.109363666
          0,           0,         156,      -3.115911211,      -5.628850767,      -6.028385544,       -8.47743609,      -4.112177959
          0,           0,         157,      -3.126110311,      -5.625542873,      -6.020852387,        -8.4827659,      -4.115000107
          0,           0,         158,      -3.133247525,      -5.621490322,      -6.013622164,       -8.48437584,      -4.117828364
          0,           0,         159,      -3.136146488,      -5.616667538,       -6.00675393,      -8.481417868,      -4.120661116
          0,           0,         160,      -3.133725437,      -5.611056161,       -6.00029298,      -8.473270893,      -4.123496899
          0,           0,         161,      -3.125238801,      -5.604647676,      -5.994271202,      -8.459691807,      -4.126334412
          0,           0,         162,      -3.110484187,      -5.597445863,      -5.988707725,      -8.440889756,      -4.129172518
          0,           0,         163,      -3.089873216,      -5.589468798,      -5.983609804,       -8.41748816,      -4.132010257
          0,           0,         164,      -3.064327201,      -5.580750193,      -5.978973879,      -8.390392858,       -4.13484685
          0,           0,         165,      -3.035054472,      -5.571339882,      -5.974786775,       -8.36062463,      -4.137681704
          0,           0,         166,      -3.003314137,      -5.561303407,      -5.971027029,      -8.329174516,      -4.140514425
          0,           0,         167,       -2.97024507,      -5.550720717,      -5.967666348,      -8.296911967,      -4.143344821
          0,           0,         168,      -2.936781876,      -5.539684108,      -5.964671174,      -8.264546081,      -4.146172911
          0,           0,         169,       -2.90363935,      -5.528295612,       -5.96200436,      -8.232624536,      -4.148998931
          0,           0,         170,      -2.871335543,       -5.51666407,      -5.959626938,      -8.201552743,      -4.151823335
          0,           0,         171,      -2.840229434,      -5.504902138,      -5.957499922,      -8.171620276,      -4.154646792
          0,           0,         172,      -2.810559258,       -5.49312344,      -5.955586128,      -8.143027083,      -4.157470171
          0,           0,         173,      -2.782475322,      -5.481440025,      -5.953851913,      -8.115906131,      -4.160294519
          0,           0,         174,      -2.756065774,      -5.469960255,      -5.952268782,      -8.090341569,      -4.163121033
          0,           0,         175,      -2.731375799,      -5.458787142,      -5.950814775,       -8.06638263,      -4.165951013
          0,           0,         176,      -2.708421496,      -5.448017168,       -5.94947556,      -8.044054002,      -4.168785807
          0,           0,         177,       -2.68719971,       -5.43773952,      -5.948245189,      -8.023363402,      -4.171626748
          0,           0,         178,      -2.667694887,       -5.42803571,      -5.947126461,      -8.004307062,      -4.174475083
          0,           0,         179,      -2.649883836,      -5.418979494,       -5.94613091,      -7.986873656,      -4.177331891
          0,           0,         180,      -2.633738985,      -5.410637026,      -5.945278428,        -7.9710471,      -4.180198002
          0,           0,         181,      -2.619230617,      -5.403067184,      -5.944596566,      -7.956808553,      -4.183073923
          0,           0,         182,      -2.606328379,      -5.396322003,      -5.944119597,      -7.944137827,      -4.185959751
          0,           0,         183,      -2.595002302,      -5.390447185,      -5.943887413,      -7.933014395,      -4.188855117
          0,           0,         184,      -2.585223483,      -5.385482621,      -5.943944337,      -7.923418098,      -4.191759121
          0,           0,         185,      -2.576964544,      -5.381462922,      -5.944337936,       -7.91532966,      -4.194670301
          0,           0,         186,      -2.570199929,      -5.378417916,      -5.945117876,      -7.908731046,      -4.197586602
          0,           0,         187,      -2.564906111,      -5.376373109,        -5.9463349,      -7.903605736,      -4.200505383
          0,           0,         188,      -2.561061736,      -5.375350089,      -5.948039923,      -7.899938919,      -4.203423429
          0,           0,         189,      -2.558647727,      -5.375366864,      -5.950283267,      -7.897717652,         -4.206337
          0,           0,         190,      -2.557647369,      -5.376438126,      -5.953114035,      -7.896930989,      -4.209241891
          0,           0,         191,      -2.558046401,      -5.378575436,      -5.956579584,       -7.89757009,      -4.212133519
          0,           0,         192,      -2.559833094,      -5.381787313,      -5.960725082,       -7.89962832,      -4.215007019
          0,           0,         193,      -2.562998359,      -5.386079229,      -5.965593094,      -7.903101353,      -4.217857366
          0,           0,         194,      -2.567535851,      -5.391453476,      -5.971223159,      -7.907987254,        -4.2206795
          0,           0,         195,      -2.573442098,      -5.397908911,      -5.977651289,      -7.914286572,      -4.223468455
          0,           0,         196,      -2.580716651,      -5.405440539,      -5.984909343,      -7.922002415,      -4.226219499
          0,           0,         197,      -2.589362228,      -5.414038921,      -5.993024197,      -7.931140502,      -4.228928256
          0,           0,         198,      -2.599384886,      -5.423689367,      -6.002016638,       -7.94170919,      -4.231590834
          0,           0,         199,      -2.610794174,      -5.434370878,      -6.011899888,      -7.953719434,      -4.234203923
          0,           0,         200,      -2.623603269,      -5.446054799,      -6.022677668,      -7.967184668,      -4.236764895
          0,           0,         201,      -2.637829066,      -5.458703142,       -6.03434168,      -7.982120534,      -4.239271865
          0,           0,         202,      -2.653492175,      -5.472266534,      -6.046868408,      -7.998544407,      -4.241723741
          0,           0,         203,      -2.670616767,      -5.486681762,      -6.060215115,      -8.016474592,      -4.244120245
          0,           0,         204,      -2.689230162,      -5.501868923,       -6.07431498,      -8.035929039,      -4.246461908
          0,           0,         205,      -2.709362016,      -5.517728213,      -6.089071363,       -8.05692335,      -4.248750036
          0,           0,         206,      -2.731042876,      -5.534136488,       -6.10435138,      -8.079467721,      -4.250986656
          0,           0,         207,      -2.754301756,      -5.550943848,      -6.119979188,      -8.103562348,      -4.253174437
          0,           0,         208,      -2.779162196,       -5.56797065,      -6.135729831,      -8.129190574,      -4.255316595
          0,           0,         209,      -2.805636028,      -5.585005583,       -6.15132501,      -8.156308802,      -4.257416775
          0,           0,         210,      -2.833713643,       -5.60180566,      -6.166432814,      -8.184831858,       -4.25947894
          0,           0,         211,      -2.863349066,      -5.618099158,      -6.180673941,      -8.214612142,      -4.261507238
          0,           0,         212,      -2.894437432,      -5.633592578,      -6.193637028,      -8.245410817,      -4.263505882
          0,           0,         213,      -2.926781819,      -5.647982435,       -6.20490474,      -8.276859814,      -4.265479032
          0,           0,         214,      -2.960046177,      -5.660971979,      -6.214089977,      -8.308415622,       -4.26743068
          0,           0,         215,      -2.993692554,       -5.67229186,      -6.220877996,      -8.339311136,      -4.269364552
          0,           0,         216,      -3.026906413,      -5.681722346,      -6.225066591,      -8.368521784,      -4.271284027
          0,           0,         217,      -3.058527272,      -5.689113541,      -6.226594659,      -8.394776149,      -4.273192064
          0,           0,         218,      -3.087025862,      -5.694399675,      -6.225551235,      -8.416651375,      -4.275091152
          0,           0,         219,      -3.110595789,       -5.69760434,      -6.222162295,      -8.432781179,      -4.276983285
          0,           0,         220,      -3.127425449,      -5.698835469,      -6.216759184,      -8.442150216,      -4.278869943
          0,           0,         221,      -3.136136011,      -5.698271223,      -6.209737218,      -8.444368686,      -4.280752104
          0,           0,         222,      -3.136218478,      -5.696139895,      -6.201514032,      -8.439786461,       -4.28263027
          0,           0,         223,      -3.128215083,       -5.69269776,      -6.192494917,      -8.429379503,      -4.284504505
          0,           0,         224,      -3.113521132,      -5.688208461,      -6.183048653,      -8.414475736,      -4.286374495
          0,           0,         225,      -3.093942238,      -5.682926326,      -6.173493925,      -8.396461072,      -4.288239616
          0,           0,         226,      -3.071261893,      -5.677084665,      -6.164094426,      -8.376571724,      -4.290099014
          0,           0,         227,      -3.046978942,      -5.670888943,      -6.155059963,      -8.355799097,      -4.291951686
          0,           0,         228,      -3.022223207,      -5.664514037,      -6.146551134,      -8.334879424,       -4.29379657
          0,           0,         229,      -2.997781958,      -5.658104491,      -6.138685657,      -8.314327862,      -4.295632635
          0,           0,         230,      -2.974170242,      -5.651776748,      -6.131545098,      -8.294486808,      -4.297458963
          0,           0,         231,      -2.951705211,      -5.645622458,      -6.125181262,      -8.275572212,      -4.299274828
          0,           0,         232,      -2.930568087,      -5.639712252,      -6.119621887,      -8.257711583,      -4.301079768
          0,           0,         233,      -2.910850389,      -5.634099515,      -6.114875518,      -8.240972751,      -4.302873642
          0,           0,         234,      -2.892586365,      -5.628823918,      -6.110935571,      -8.225384574,      -4.304656672
          0,           0,         235,      -2.875774896,      -5.623914552,      -6.107783687,      -8.210951357,      -4.306429482
          0,           0,         236,      -2.860393906,      -5.619392604,      -6.105392453,      -8.197662657,      -4.308193106
          0,           0,         237,      -2.846409649,      -5.615273572,      -6.103727629,      -8.185499784,      -4.309948988
          0,           0,         238,      -2.833782545,      -5.611569027,      -6.102749954,      -8.174440002,       -4.31169897
          0,           0,         239,      -2.822470754,      -5.608287975,      -6.102416632,      -8.164459135,      -4.313445261
          0,           0,         240,      -2.812432254,      -5.605437841,      -6.102682553,      -8.155533099,      -4.315190389
          0,           0,         241,      -2.803625953,       -5.60302515,      -6.103501307,      -8.147638693,      -4.316937154
          0,           0,         242,      -2.796012185,      -5.601055935,      -6.104826042,       -8.14075391,      -4.318688557
          0,           0,         243,       -2.78955281,      -5.599535921,      -6.106610183,      -8.134857924,      -4.320447736
          0,           0,         244,      -2.784211068,      -5.598470539,      -6.108808049,      -8.129930878,      -4.322217885
          0,           0,         245,      -2.779951299,      -5.597864801,      -6.111375389,      -8.125953558,      -4.324002186
          0,           0,         246,      -2.776738579,      -5.597723081,      -6.114269848,      -8.122906996,      -4.325803726
          0,           0,         247,      -2.774538327,      -5.598048833,      -6.117451387,      -8.120772057,       -4.32762543
          0,           0,         248,      -2.773315911,      -5.598844274,      -6.120882666,      -8.119529026,      -4.329469991
          0,           0,         249,      -2.773036274,      -5.600110064,      -6.124529402,      -8.119157225,       -4.33133981
          0,           0,         250,      -2.773663594,      -5.601844997,      -6.128360716,       -8.11963466,      -4.333236946
          0,           0,         251,      -2.775160992,      -5.604045727,      -6.132349471,      -8.120937721,      -4.335163073
