"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Adjoint_Nu_Tilde","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
337, 7.678796052932740e-01, -1.264218706637620e-02, -2.012769684234764e-02, 1.112036307160209e-05, -5.850253072871418e-05, -2.618330697251983e-08, -4.271092134711381e-05, 1.767079511021303e-01, -1.446533983589111e+00, -1.457275999329585e+00
363, 7.495508193969730e-01, -1.500672101974490e-02, -2.023542983135130e-02, 1.163372995651836e-05, -6.017707625330686e-05, -2.597764253919263e-08, -4.157998196760608e-05, 1.879709483805166e-01, -1.475109212127465e+00, -1.487024877849414e+00
389, 7.313483357429500e-01, -1.744982041418550e-02, -2.027802477985201e-02, 1.203352741103810e-05, -6.140040174141787e-05, -2.537418276732644e-08, -4.055885346820953e-05, 1.994113640389751e-01, -1.516486177413184e+00, -1.529527477588876e+00
415, 7.132214307785030e-01, -1.993851736187930e-02, -2.030259823486982e-02, 1.264499119336355e-05, -6.471271467475950e-05, -2.922751252530741e-08, -3.968911343406742e-05, 2.092216068228307e-01, -1.558371126234928e+00, -1.572337742766651e+00
441, 6.951977014541630e-01, -2.246599644422530e-02, -2.007480360617480e-02, 1.181894744627410e-05, -5.734444557866537e-05, -1.151808344287234e-08, -3.932204810541195e-05, 2.214920739773498e-01, -1.610980058636321e+00, -1.626121540538677e+00
467, 6.773055195808410e-01, -2.502630092203620e-02, -2.027198463814175e-02, 1.308917901295284e-05, -6.557322777648556e-05, -2.679567121111361e-08, -3.841045199289435e-05, 2.311700627546721e-01, -1.665411258833977e+00, -1.681362096851009e+00
493, 6.594728827476500e-01, -2.758665196597580e-02, -2.012338158020553e-02, 1.309021949046289e-05, -6.553813400571758e-05, -2.406167218413237e-08, -3.641139648508454e-05, 2.378226125564898e-01, -1.697890171245825e+00, -1.714447542040930e+00
519, 6.418011188507080e-01, -3.016339242458340e-02, -1.997616607835581e-02, 1.330592925072391e-05, -6.601454753048433e-05, -1.827693592569015e-08, -3.610258474557100e-05, 2.527422854222369e-01, -1.773098787191752e+00, -1.791005750705476e+00
545, 6.243042349815370e-01, -3.275020420551300e-02, -2.002415403250507e-02, 1.298834800713684e-05, -6.486707984552829e-05, -1.512991309026463e-08, -3.757386830349507e-05, 2.626952363780825e-01, -1.875882707149036e+00, -1.894178006573094e+00
571, 6.065399646759030e-01, -3.521266952157020e-02, -1.984485554944558e-02, 1.237391275462307e-05, -6.296068587523288e-05, -1.639299949822266e-08, -3.756209783168650e-05, 2.631288686167563e-01, -1.977433648004363e+00, -1.994845199989039e+00
597, 5.888153314590450e-01, -3.762762248516080e-02, -1.952936392408533e-02, 1.188042815893096e-05, -5.991258076909530e-05, -7.688122122459591e-09, -3.632863925105461e-05, 2.675652370704645e-01, -2.023705535967327e+00, -2.041294200206416e+00
623, 5.713157057762150e-01, -4.003950580954550e-02, -1.934676195867813e-02, 1.168058328403063e-05, -5.899043809131620e-05, -5.092105418538581e-09, -3.598419972984174e-05, 2.749571925110893e-01, -2.096154655936148e+00, -2.114090609261318e+00
649, 5.538190603256230e-01, -4.237503558397290e-02, -1.915189313072971e-02, 1.121001559089739e-05, -5.737718863344033e-05, -1.387371424143523e-09, -3.584846039581214e-05, 2.768169023877809e-01, -2.185572928621324e+00, -2.203012107525658e+00
675, 5.363336801528930e-01, -4.462694749236110e-02, -1.884233053737817e-02, 1.067310883485554e-05, -5.554502446402643e-05, 2.205165086304282e-09, -3.558148205727256e-05, 2.769160941752077e-01, -2.285719609140937e+00, -2.302411414872703e+00
701, 5.188096761703490e-01, -4.676951467990880e-02, -1.844227299704513e-02, 1.002488000837159e-05, -5.323155348789663e-05, 6.208320143046343e-09, -3.530578075821750e-05, 2.717397716155095e-01, -2.379069355960962e+00, -2.394517460012370e+00
727, 5.012295246124270e-01, -4.878489673137660e-02, -1.796561825099055e-02, 9.279032250804805e-06, -5.009892434600443e-05, 1.063794911402382e-08, -3.491214672584923e-05, 2.631138136359124e-01, -2.473910382011479e+00, -2.487844227059055e+00
753, 4.835794866085050e-01, -5.065427348017690e-02, -1.746495661669080e-02, 8.905845400673196e-06, -5.089081083121808e-05, 6.488511695523991e-09, -3.417882628158722e-05, 2.498550102030958e-01, -2.577605275006321e+00, -2.589663509511454e+00
779, 4.658685922622680e-01, -5.236319825053220e-02, -1.682650818186502e-02, 8.066178429561078e-06, -4.697666158956383e-05, 1.771483810760071e-08, -3.414117854570169e-05, 2.364830358532911e-01, -2.687804962939365e+00, -2.698177290150936e+00
805, 4.480717480182650e-01, -5.388031527400020e-02, -1.625385609980824e-02, 7.519762218583172e-06, -4.615278754234396e-05, 1.398437310039299e-08, -3.503044196239280e-05, 2.137076969877472e-01, -2.834282161787397e+00, -2.842312029225716e+00
831, 4.301885962486270e-01, -5.517242103815080e-02, -1.534384653078011e-02, 6.675507007811385e-06, -4.156351571109609e-05, 1.769008497902023e-08, -3.542581450039310e-05, 1.866455987694531e-01, -2.987672331856759e+00, -2.993481834513448e+00
857, 4.122794568538670e-01, -5.622962117195130e-02, -1.429214741493393e-02, 5.897647546263742e-06, -3.663910929559856e-05, 2.147950778083871e-08, -3.604560612559983e-05, 1.527810630256090e-01, -3.107250736459756e+00, -3.110992215382297e+00
883, 3.944020271301270e-01, -5.703297257423400e-02, -1.329843212525578e-02, 5.170922618335531e-06, -3.096683104770371e-05, 2.499988742240360e-08, -3.779062375680873e-05, 1.098050060072002e-01, -3.249674769407497e+00, -3.251514371597375e+00
909, 3.766198158264160e-01, -5.754299089312550e-02, -1.252343436593206e-02, 4.569368201993291e-06, -2.495900705737248e-05, 2.820274070802875e-08, -4.107322597616493e-05, 6.213068972715121e-02, -3.367918573944291e+00, -3.368477462745873e+00
