"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Nu_Tilde","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity"
3171, 1.203565001487730e-01, 3.745705153167893e-02, 2.452943495151368e-01, 0.000000000000000e+00, 0.000000000000000e+00, 5.524485114585585e+04, 0.000000000000000e+00, 2.209794045834233e+04, 3.138301036440130e+02, 0.000000000000000e+00, -1.058331202339470e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.910635666409775e-05, 4.844413148758490e-03, 5.614882238588200e-04, -1.090136613739065e+03, 2.504035705546243e+00, 0.000000000000000e+00
3197, 1.272729039192200e-01, 3.824668576295066e-02, 2.461579706254902e-01, 0.000000000000000e+00, 0.000000000000000e+00, 5.545204875555057e+04, 0.000000000000000e+00, 2.218081950222022e+04, 3.139019619974009e+02, 0.000000000000000e+00, -1.053072988858963e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.910968237532239e-05, 4.798639358882259e-03, 5.358783301913265e-04, -1.072648157034510e+03, 2.497780325444757e+00, 0.000000000000000e+00
3223, 1.344466507434840e-01, 3.903054055807595e-02, 2.462399333606736e-01, 0.000000000000000e+00, 0.000000000000000e+00, 5.547063359613165e+04, 0.000000000000000e+00, 2.218825343845266e+04, 3.139026471824316e+02, 0.000000000000000e+00, -1.052601347031529e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.910971408489571e-05, 4.792561028036454e-03, 5.091826685138476e-04, -1.064562828994267e+03, 2.497892294731811e+00, 0.000000000000000e+00
3249, 1.419069468975070e-01, 3.980147056615710e-02, 2.461255228732794e-01, 0.000000000000000e+00, 0.000000000000000e+00, 5.544570502775754e+04, 0.000000000000000e+00, 2.217828201110301e+04, 3.139074298050904e+02, 0.000000000000000e+00, -1.053233978529873e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.910993541820839e-05, 4.777425396107733e-03, 4.809204968496040e-04, -1.055625031140406e+03, 2.494767720348263e+00, 0.000000000000000e+00
3275, 1.496536135673520e-01, 4.056135255626778e-02, 2.462575968157040e-01, 0.000000000000000e+00, 0.000000000000000e+00, 5.548028601380788e+04, 0.000000000000000e+00, 2.219211440552315e+04, 3.139347498407894e+02, 0.000000000000000e+00, -1.052356390186614e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.911119972066284e-05, 4.743706062933039e-03, 4.547166710213117e-04, -1.041853161604356e+03, 2.487980191514902e+00, 0.000000000000000e+00
3301, 1.576814949512480e-01, 4.131356888816565e-02, 2.465027246161633e-01, 0.000000000000000e+00, 0.000000000000000e+00, 5.554756166385137e+04, 0.000000000000000e+00, 2.221902466554054e+04, 3.140028662987633e+02, 0.000000000000000e+00, -1.050649084149205e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.911435174258729e-05, 4.683094693902611e-03, 4.253351464912914e-04, -1.017957482153527e+03, 2.473752758519089e+00, 0.000000000000000e+00
3327, 1.660248339176180e-01, 4.204824442180868e-02, 2.475261670509696e-01, 0.000000000000000e+00, 0.000000000000000e+00, 5.579077487073772e+04, 0.000000000000000e+00, 2.231630994829509e+04, 3.140737305770550e+02, 0.000000000000000e+00, -1.044476875092492e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.911763055939070e-05, 4.617374183929500e-03, 4.018564698209773e-04, -9.822598344615866e+02, 2.462417283982033e+00, 0.000000000000000e+00
3353, 1.746245622634890e-01, 4.278814750077487e-02, 2.493106883647559e-01, 0.000000000000000e+00, 0.000000000000000e+00, 5.620442028516305e+04, 0.000000000000000e+00, 2.248176811406521e+04, 3.141375928150667e+02, 0.000000000000000e+00, -1.033979476510117e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.912058508654731e-05, 4.562569292553895e-03, 3.864034733080758e-04, -9.463401425397577e+02, 2.456838924665852e+00, 0.000000000000000e+00
3379, 1.835020482540130e-01, 4.352838771176463e-02, 2.511681572136693e-01, 0.000000000000000e+00, 0.000000000000000e+00, 5.663878850679498e+04, 0.000000000000000e+00, 2.265551540271799e+04, 3.142242603999205e+02, 0.000000000000000e+00, -1.022956179272982e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.912459420821373e-05, 4.498500340694224e-03, 3.699920907956123e-04, -9.121697369652514e+02, 2.449235796306518e+00, 0.000000000000000e+00
3405, 1.926559209823610e-01, 4.427118842708758e-02, 2.532829135319487e-01, 0.000000000000000e+00, 0.000000000000000e+00, 5.713254895369422e+04, 0.000000000000000e+00, 2.285301958147768e+04, 3.143171252747140e+02, 0.000000000000000e+00, -1.010425639746721e+00, 0.000000000000000e+00, 0.000000000000000e+00, 1.912888940270939e-05, 4.435675227166563e-03, 3.579961135277578e-04, -8.812499348318777e+02, 2.442078318802007e+00, 0.000000000000000e+00
3431, 2.020680904388430e-01, 4.502682269750348e-02, 2.552485815812671e-01, 0.000000000000000e+00, 0.000000000000000e+00, 5.759212085960339e+04, 0.000000000000000e+00, 2.303684834384135e+04, 3.144054540267881e+02, 0.000000000000000e+00, -9.987627291828676e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.913297421132203e-05, 4.382858638349138e-03, 3.462770108036702e-04, -8.573864060044821e+02, 2.437587457871193e+00, 0.000000000000000e+00
3457, 2.117756903171540e-01, 4.578178621698153e-02, 2.571919479531766e-01, 0.000000000000000e+00, 0.000000000000000e+00, 5.804744117048060e+04, 0.000000000000000e+00, 2.321897646819224e+04, 3.144966682430293e+02, 0.000000000000000e+00, -9.872077146239133e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.913719186568298e-05, 4.328985642845526e-03, 3.355558810368920e-04, -8.352321873500264e+02, 2.431659627843862e+00, 0.000000000000000e+00
3483, 2.217475175857540e-01, 4.655224875787785e-02, 2.589866394144038e-01, 0.000000000000000e+00, 0.000000000000000e+00, 5.846914174614484e+04, 0.000000000000000e+00, 2.338765669845793e+04, 3.145862201867625e+02, 0.000000000000000e+00, -9.765058940046398e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.914133207125043e-05, 4.281524602179561e-03, 3.253204509381775e-04, -8.196073012500918e+02, 2.427437788890349e+00, 0.000000000000000e+00
3509, 2.320270836353300e-01, 4.732053538194991e-02, 2.603585205192039e-01, 0.000000000000000e+00, 0.000000000000000e+00, 5.879039994434782e+04, 0.000000000000000e+00, 2.351615997773912e+04, 3.146479860136348e+02, 0.000000000000000e+00, -9.683530770343909e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.914418731783261e-05, 4.255102793128696e-03, 3.139095543200893e-04, -8.112794361782437e+02, 2.426137335720794e+00, 0.000000000000000e+00
3535, 2.426079511642460e-01, 4.809117501322536e-02, 2.612590245268606e-01, 0.000000000000000e+00, 0.000000000000000e+00, 5.899936717238612e+04, 0.000000000000000e+00, 2.359974686895444e+04, 3.146780056668206e+02, 0.000000000000000e+00, -9.630499545848897e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.914557493537005e-05, 4.245011802612554e-03, 3.009409640896579e-04, -8.092630800922415e+02, 2.428230775174321e+00, 0.000000000000000e+00
3561, 2.535301446914670e-01, 4.884494855817006e-02, 2.616767467839423e-01, 0.000000000000000e+00, 0.000000000000000e+00, 5.909432013124543e+04, 0.000000000000000e+00, 2.363772805249817e+04, 3.146813069645577e+02, 0.000000000000000e+00, -9.606402601438019e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.914572752937073e-05, 4.247416480014757e-03, 2.849598917153722e-04, -8.102257390998499e+02, 2.431551836360983e+00, 0.000000000000000e+00
3587, 2.647941112518310e-01, 4.957964825475597e-02, 2.620737059485659e-01, 0.000000000000000e+00, 0.000000000000000e+00, 5.918995899309949e+04, 0.000000000000000e+00, 2.367598359723979e+04, 3.147131759385077e+02, 0.000000000000000e+00, -9.582131590136186e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.914720055014975e-05, 4.222683925490754e-03, 2.666192444537593e-04, -8.023769364377018e+02, 2.425840067645739e+00, 0.000000000000000e+00
3613, 2.764054536819460e-01, 5.028929004981487e-02, 2.629709615331347e-01, 0.000000000000000e+00, 0.000000000000000e+00, 5.940184366286141e+04, 0.000000000000000e+00, 2.376073746514456e+04, 3.147621236333463e+02, 0.000000000000000e+00, -9.528359983962915e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.914946282581918e-05, 4.178320184956837e-03, 2.506745245599894e-04, -7.827938417156203e+02, 2.417989625975109e+00, 0.000000000000000e+00
3639, 2.883291840553280e-01, 5.099161357200037e-02, 2.645750286773026e-01, 0.000000000000000e+00, 0.000000000000000e+00, 5.977351977865849e+04, 0.000000000000000e+00, 2.390940791146339e+04, 3.148113015425786e+02, 0.000000000000000e+00, -9.434036870614934e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.915173556679480e-05, 4.134980170095157e-03, 2.403705680561900e-04, -7.578758714827150e+02, 2.412829180070388e+00, 0.000000000000000e+00
3665, 3.005529642105100e-01, 5.169300919334832e-02, 2.665156367803120e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.022368986464246e+04, 0.000000000000000e+00, 2.408947594585698e+04, 3.148726961477485e+02, 0.000000000000000e+00, -9.319793737302281e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.915457265252714e-05, 4.085589815850156e-03, 2.315304161058703e-04, -7.317750237363459e+02, 2.406759150488663e+00, 0.000000000000000e+00
3691, 3.130726814270020e-01, 5.239382781782428e-02, 2.685875945887352e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.070618516357962e+04, 0.000000000000000e+00, 2.428247406543184e+04, 3.149468935518397e+02, 0.000000000000000e+00, -9.197347185486821e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.915800099989788e-05, 4.032805950240352e-03, 2.231865756709484e-04, -7.087686149399053e+02, 2.400437089645637e+00, 0.000000000000000e+00
3717, 3.258830904960630e-01, 5.309484806601918e-02, 2.705170128448572e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.115706320464909e+04, 0.000000000000000e+00, 2.446282528185963e+04, 3.150230817230048e+02, 0.000000000000000e+00, -9.082924388954129e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.916152091744935e-05, 3.987122921345008e-03, 2.139523292911672e-04, -6.920060147373201e+02, 2.395345931753166e+00, 0.000000000000000e+00
3743, 3.389919400215150e-01, 5.378467677312197e-02, 2.721915116671815e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.154907559560338e+04, 0.000000000000000e+00, 2.461963023824134e+04, 3.150919397190589e+02, 0.000000000000000e+00, -8.983440382276714e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.916470181718598e-05, 3.951013222443970e-03, 2.041973678222469e-04, -6.807329896700754e+02, 2.392110192205962e+00, 0.000000000000000e+00
3769, 3.523894548416140e-01, 5.446475738425501e-02, 2.734948437430126e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.185394788550190e+04, 0.000000000000000e+00, 2.474157915420075e+04, 3.151436914449455e+02, 0.000000000000000e+00, -8.906070590852030e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.916709226581996e-05, 3.929367038236484e-03, 1.951999989086300e-04, -6.760982515740769e+02, 2.391356335289260e+00, 0.000000000000000e+00
3795, 3.660713136196140e-01, 5.512990455290394e-02, 2.741442979929980e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.200224840566472e+04, 0.000000000000000e+00, 2.480089936226588e+04, 3.151509046129567e+02, 0.000000000000000e+00, -8.868435224525401e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.916742543174162e-05, 3.933750548001307e-03, 1.848095627528536e-04, -6.771343648019290e+02, 2.395034853296757e+00, 0.000000000000000e+00
3821, 3.800389170646670e-01, 5.576374291001242e-02, 2.743302955113536e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.204041251493994e+04, 0.000000000000000e+00, 2.481616500597597e+04, 3.151310831161738e+02, 0.000000000000000e+00, -8.858750024287897e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.916650989609407e-05, 3.946654242162324e-03, 1.720148005999319e-04, -6.782332722287514e+02, 2.399216743409270e+00, 0.000000000000000e+00
3847, 3.942807912826540e-01, 5.635941374664002e-02, 2.745229441779740e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.208227988420329e+04, 0.000000000000000e+00, 2.483291195368131e+04, 3.151224512738737e+02, 0.000000000000000e+00, -8.848125019212878e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.916611119081458e-05, 3.943809285027116e-03, 1.598662650846876e-04, -6.760065577508672e+02, 2.398825571735562e+00, 0.000000000000000e+00
3873, 4.087766110897060e-01, 5.692865416177390e-02, 2.745907899030903e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.209712804963291e+04, 0.000000000000000e+00, 2.483885121985316e+04, 3.151199399541453e+02, 0.000000000000000e+00, -8.844356885799666e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.916599519180339e-05, 3.937760501122646e-03, 1.481154603966206e-04, -6.769376536167092e+02, 2.398517127873826e+00, 0.000000000000000e+00
3899, 4.235162138938900e-01, 5.745907891894251e-02, 2.743651596353558e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.204462275432180e+04, 0.000000000000000e+00, 2.481784910172872e+04, 3.151124217623519e+02, 0.000000000000000e+00, -8.857681559381064e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.916564792034535e-05, 3.941072614669140e-03, 1.355090795933398e-04, -6.842763548110113e+02, 2.398225567749870e+00, 0.000000000000000e+00
3925, 4.384851455688480e-01, 5.795014667331787e-02, 2.739887481014553e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.196389761280720e+04, 0.000000000000000e+00, 2.478555904512287e+04, 3.151347795213207e+02, 0.000000000000000e+00, -8.878167800894821e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.916668063160661e-05, 3.931119761147716e-03, 1.207677320272757e-04, -6.955954740606252e+02, 2.392993644169869e+00, 0.000000000000000e+00
3951, 4.536674916744230e-01, 5.838535480381057e-02, 2.737697596383005e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.193450024476350e+04, 0.000000000000000e+00, 2.477380009790539e+04, 3.152372277169786e+02, 0.000000000000000e+00, -8.885628197622688e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.917141228054568e-05, 3.861458398775412e-03, 9.948274964947042e-05, -6.927476714066272e+02, 2.369647904296769e+00, 0.000000000000000e+00
