"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Nu_Tilde","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity"
1247, 1.840233504772190e-01, -4.897923022508620e-02, 3.987623021009044e-01, 0.000000000000000e+00, 0.000000000000000e+00, 9.090727774446056e+04, 0.000000000000000e+00, 3.636291109778421e+04, 3.176690431578992e+02, 0.000000000000000e+00, -1.532983085495846e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.928350539800869e-05, 3.860725971254093e-03, -3.814647686776238e-04, -6.674719257197554e+02, 2.849357331330456e+00, 0.000000000000000e+00
1273, 1.725961565971370e-01, -4.781839996576310e-02, 4.015614818029219e-01, 0.000000000000000e+00, 0.000000000000000e+00, 9.155709331264635e+04, 0.000000000000000e+00, 3.662283732505854e+04, 3.177095614113561e+02, 0.000000000000000e+00, -1.368074378995227e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.928536946426147e-05, 3.865529972696265e-03, -4.047154645526983e-04, -6.681117722187989e+02, 2.861303908018529e+00, 0.000000000000000e+00
1299, 1.616173982620240e-01, -4.663335904479030e-02, 4.043709655675359e-01, 0.000000000000000e+00, 0.000000000000000e+00, 9.221047953261301e+04, 0.000000000000000e+00, 3.688419181304520e+04, 3.177537262179202e+02, 0.000000000000000e+00, -1.202259520664194e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.928740115841462e-05, 3.871585113577145e-03, -4.333126468298019e-04, -6.729531630959499e+02, 2.873925312548194e+00, 0.000000000000000e+00
1325, 1.511152982711790e-01, -4.541423544287680e-02, 4.071878543989839e-01, 0.000000000000000e+00, 0.000000000000000e+00, 9.286756464733199e+04, 0.000000000000000e+00, 3.714702585893279e+04, 3.178041602123495e+02, 0.000000000000000e+00, -1.035505965295183e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.928972108043022e-05, 3.874374958389464e-03, -4.628059953471725e-04, -6.782357813503157e+02, 2.885157735553863e+00, 0.000000000000000e+00
1351, 1.410477757453920e-01, -4.417625442147250e-02, 4.105065055590844e-01, 0.000000000000000e+00, 0.000000000000000e+00, 9.363915628862601e+04, 0.000000000000000e+00, 3.745566251545039e+04, 3.178540756698388e+02, 0.000000000000000e+00, -8.396932058875733e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.929201697086056e-05, 3.874882874541442e-03, -4.953141141520364e-04, -6.809255047206221e+02, 2.897168864944287e+00, 0.000000000000000e+00
1377, 1.314679384231570e-01, -4.290277510881420e-02, 4.140214225078050e-01, 0.000000000000000e+00, 0.000000000000000e+00, 9.445774767574773e+04, 0.000000000000000e+00, 3.778309907029908e+04, 3.179106735242616e+02, 0.000000000000000e+00, -6.319529586360767e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.929462000624937e-05, 3.859864068138007e-03, -5.250215768526809e-04, -6.766490168045030e+02, 2.904198010463183e+00, 0.000000000000000e+00
1403, 1.222792565822600e-01, -4.162334650754930e-02, 4.169016548488751e-01, 0.000000000000000e+00, 0.000000000000000e+00, 9.512694352502731e+04, 0.000000000000000e+00, 3.805077741001092e+04, 3.179510477732210e+02, 0.000000000000000e+00, -4.621259687897438e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.929647674923664e-05, 3.863253622433470e-03, -5.525997891839833e-04, -6.779045476837377e+02, 2.915469079666911e+00, 0.000000000000000e+00
1429, 1.134960949420930e-01, -4.033208265900610e-02, 4.203346699255583e-01, 0.000000000000000e+00, 0.000000000000000e+00, 9.592217210172991e+04, 0.000000000000000e+00, 3.836886884069196e+04, 3.179904873752795e+02, 0.000000000000000e+00, -2.603146820542151e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.929829039677966e-05, 3.869845436332644e-03, -5.897702195106182e-04, -6.812413745628079e+02, 2.929493826288589e+00, 0.000000000000000e+00
1455, 1.051684617996220e-01, -3.901563584804530e-02, 4.238305959970873e-01, 0.000000000000000e+00, 0.000000000000000e+00, 9.673504713899767e+04, 0.000000000000000e+00, 3.869401885559906e+04, 3.180400985607157e+02, 0.000000000000000e+00, -5.402511697543955e-03, 0.000000000000000e+00, 0.000000000000000e+00, 1.930057163104316e-05, 3.863831008987491e-03, -6.245227977500171e-04, -6.797715764086131e+02, 2.939163348663377e+00, 0.000000000000000e+00
1481, 9.719923138618471e-02, -3.769797086715700e-02, 4.271389065476999e-01, 0.000000000000000e+00, 0.000000000000000e+00, 9.750658412924694e+04, 0.000000000000000e+00, 3.900263365169877e+04, 3.180937583836669e+02, 0.000000000000000e+00, 1.417737732152135e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.930303883259941e-05, 3.858965257396410e-03, -6.586644692012439e-04, -6.811866395819851e+02, 2.948830563168755e+00, 0.000000000000000e+00
