"PointID","x","y"
1559, 7.564741373062130e-02, -3.467263240399254e-03
1585, 6.917616724967959e-02, -3.716305064967899e-03
1611, 6.298619508743290e-02, -3.969159803438344e-03
1637, 5.711802840232850e-02, -4.203649299939133e-03
1663, 5.161416530609130e-02, -4.395590042664554e-03
1689, 4.642483592033390e-02, -4.562582504875602e-03
1715, 4.156750440597530e-02, -4.691487456483238e-03
1741, 3.698146343231200e-02, -4.805605635384069e-03
1767, 3.265759348869320e-02, -4.905393267626939e-03
1793, 2.861636877059940e-02, -4.977999723381584e-03
1819, 2.490270137786870e-02, -4.996627587874319e-03
1845, 2.143678069114690e-02, -4.995716961033337e-03
1871, 1.820489764213560e-02, -4.979633570095321e-03
1897, 1.524919271469120e-02, -4.923273353715707e-03
1923, 1.256430149078370e-02, -4.824576221076144e-03
1949, 1.017087697982790e-02, -4.665675356977261e-03
1975, 8.062899112701419e-03, -4.441302786821227e-03
2001, 6.177186965942380e-03, -4.185309759391897e-03
2027, 4.468053579330440e-03, -3.931198900290501e-03
2053, 3.018766641616820e-03, -3.619405466027867e-03
2079, 1.912891864776610e-03, -3.160512697798766e-03
2105, 1.121968030929570e-03, -2.534646203933071e-03
2131, 5.391836166381840e-04, -1.817954696717621e-03
2157, 1.753866672515870e-04, -9.620967418251784e-04
2183, 0.000000000000000e+00, 0.000000000000000e+00
2209, 1.051127910614010e-04, 9.262016005504993e-04
2235, 3.451704978942870e-04, 1.789836233310996e-03
2261, 7.326900959014890e-04, 2.595586781223795e-03
2287, 1.276999711990360e-03, 3.356155941207277e-03
2313, 1.973092555999760e-03, 4.087252664960179e-03
2339, 2.858132123947140e-03, 4.776018417296530e-03
2365, 3.939032554626460e-03, 5.430031068992518e-03
2391, 5.185037851333620e-03, 6.069851962737008e-03
2417, 6.539613008499150e-03, 6.719828032381274e-03
2443, 7.984459400177000e-03, 7.383399591716740e-03
2469, 9.577721357345579e-03, 8.037310528255025e-03
2495, 1.134461164474490e-02, 8.674730019260217e-03
2521, 1.328635215759280e-02, 9.297413140874910e-03
2547, 1.542121171951290e-02, 9.901370965095980e-03
2573, 1.774638891220090e-02, 1.048966867576257e-02
2599, 2.023851871490480e-02, 1.107063967026438e-02
2625, 2.291005849838260e-02, 1.164126551987423e-02
2651, 2.576607465744020e-02, 1.220102832755850e-02
2677, 2.879580855369570e-02, 1.275381305690854e-02
2703, 3.199326992034910e-02, 1.330196958634868e-02
2729, 3.537228703498840e-02, 1.384212276508604e-02
2755, 3.891497850418090e-02, 1.438021931201432e-02
2781, 4.259017109870910e-02, 1.492564439265280e-02
2807, 4.645630717277530e-02, 1.546246981687512e-02
2833, 5.049252510070800e-02, 1.599781106543181e-02
2859, 5.469727516174320e-02, 1.653290219617161e-02
2885, 5.909299850463870e-02, 1.706259693315596e-02
2911, 6.365954875946039e-02, 1.759377292630825e-02
2937, 6.838649511337280e-02, 1.813084384390119e-02
2963, 7.332068681716920e-02, 1.866133556702183e-02
2989, 7.843562960624691e-02, 1.919482867635223e-02
3015, 8.375442028045650e-02, 1.972551310330177e-02
3041, 8.928063511848450e-02, 2.025442003768798e-02
3067, 9.501701593399051e-02, 2.078186837640543e-02
3093, 1.010102331638340e-01, 2.129545669884691e-02
3119, 1.072062253952030e-01, 2.181352670030146e-02
3145, 1.136637628078460e-01, 2.231914088859385e-02
3171, 1.203565001487730e-01, 2.282258056170224e-02
3197, 1.272729039192200e-01, 2.332958691407188e-02
3223, 1.344466507434840e-01, 2.383069541101668e-02
3249, 1.419069468975070e-01, 2.431729067856577e-02
3275, 1.496536135673520e-01, 2.479092267371198e-02
3301, 1.576814949512480e-01, 2.525474901771890e-02
3327, 1.660248339176180e-01, 2.569721979042727e-02
3353, 1.746245622634890e-01, 2.614262839672624e-02
3379, 1.835020482540130e-01, 2.658470620825366e-02
3405, 1.926559209823610e-01, 2.702504640258718e-02
3431, 2.020680904388430e-01, 2.747377876599126e-02
3457, 2.117756903171540e-01, 2.791540949048153e-02
3483, 2.217475175857540e-01, 2.836629175878733e-02
3509, 2.320270836353300e-01, 2.880648360756149e-02
3535, 2.426079511642460e-01, 2.923980209712866e-02
3561, 2.535301446914670e-01, 2.964477771342941e-02
3587, 2.647941112518310e-01, 3.001815330091106e-02
3613, 2.764054536819460e-01, 3.035267658745659e-02
3639, 2.883291840553280e-01, 3.066610856500316e-02
3665, 3.005529642105100e-01, 3.096415424867590e-02
3691, 3.130726814270020e-01, 3.124625654267188e-02
3717, 3.258830904960630e-01, 3.151240383877751e-02
3743, 3.389919400215150e-01, 3.175008721394192e-02
3769, 3.523894548416140e-01, 3.196040382891557e-02
3795, 3.660713136196140e-01, 3.213787998513440e-02
3821, 3.800389170646670e-01, 3.226596055458696e-02
3847, 3.942807912826540e-01, 3.233847693763306e-02
3873, 4.087766110897060e-01, 3.236870772155970e-02
3899, 4.235162138938900e-01, 3.234606398036552e-02
3925, 4.384851455688480e-01, 3.227269563829590e-02
3951, 4.536674916744230e-01, 3.213569658014029e-02
3977, 4.690417945384980e-01, 3.191250342289082e-02
4003, 4.845884144306180e-01, 3.162045759598468e-02
4029, 5.002762079238890e-01, 3.124160338726410e-02
4055, 5.160748958587650e-01, 3.077216049560603e-02
4081, 5.319590568542480e-01, 3.021932639634738e-02
4107, 5.478921532630920e-01, 2.957812123300047e-02
4133, 5.638301968574519e-01, 2.884367114366716e-02
4159, 5.797371864318850e-01, 2.801961913521483e-02
4185, 5.956164002418520e-01, 2.713568025035364e-02
