"EVALUATION"    , "BUFFET"        , "DRAG"          , "EFFICIENCY"    , "FORCE_X"       , "FORCE_Y"       , "FORCE_Z"       , "LIFT"          , "MOMENT_X"      , "MOMENT_Y"      , "MOMENT_Z"      , "SIDEFORCE"     , "Time_Iter"     , "Outer_Iter"    , "Inner_Iter"    , "RMS_DENSITY"   , "RMS_MOMENTUM-X", "RMS_MOMENTUM-Y", "RMS_ENERGY"    , "RMS_NU_TILDE"  , "RefForce"      
37              , 0.00330016735   , 0.009238582063  , 67.34054882     , -0.008242841907 , 0.6221451761    , 0.0             , 0.6221311864    , 0.0             , 0.0             , 0.07915058654   , 0.0             , 0.0             , 0.0             , 7619.0          , -12.0004341     , -10.15018879    , -10.32325416    , -7.007217269    , -14.26239769    , 15761.82561     
38              , 0.003243526039  , 0.009144283677  , 68.03493727     , -0.00861551965  , 0.6221383135    , 0.0             , 0.6221307663    , 0.0             , 0.0             , 0.07530836982   , 0.0             , 0.0             , 0.0             , 8066.0          , -12.00013345    , -10.01032651    , -10.16265138    , -6.753218303    , -13.59655001    , 15761.82561     
39              , 0.003207600613  , 0.009099494081  , 68.36985705     , -0.0088425381   , 0.6221348147    , 0.0             , 0.6221311095    , 0.0             , 0.0             , 0.07283573617   , 0.0             , 0.0             , 0.0             , 8337.0          , -12.00016117    , -10.13876877    , -10.32306629    , -6.996656978    , -14.25754056    , 15761.82561     
40              , 0.003162259843  , 0.009061800151  , 68.65426063     , -0.009106567553 , 0.6221305357    , 0.0             , 0.6221311894    , 0.0             , 0.0             , 0.069873727     , 0.0             , 0.0             , 0.0             , 8410.0          , -12.00033213    , -10.17379853    , -10.42689209    , -7.121195608    , -14.19109351    , 15761.82561     
41              , 0.003153729058  , 0.009056503386  , 68.69441334     , -0.009152976422 , 0.6221297752    , 0.0             , 0.622131187     , 0.0             , 0.0             , 0.06930105217   , 0.0             , 0.0             , 0.0             , 7481.0          , -12.00021045    , -10.20179462    , -10.56188385    , -7.302901618    , -14.08983374    , 15761.82561     
42              , 0.003121193855  , 0.009044761119  , 68.7835904      , -0.00932269724  , 0.6221270412    , 0.0             , 0.6221311441    , 0.0             , 0.0             , 0.06719051483   , 0.0             , 0.0             , 0.0             , 8191.0          , -12.0007838     , -10.2179315     , -10.63113612    , -7.440902133    , -14.0478476     , 15761.82561     
43              , 0.003115445231  , 0.009043357756  , 68.79425687     , -0.009347680069 , 0.6221265784    , 0.0             , 0.6221310765    , 0.0             , 0.0             , 0.06686512527   , 0.0             , 0.0             , 0.0             , 7255.0          , -12.00054674    , -10.2155286     , -10.63671763    , -7.454480677    , -14.03803391    , 15761.82561     
44              , 0.003105308351  , 0.009038423793  , 68.83175017     , -0.009365070242 , 0.6221256971    , 0.0             , 0.6221305284    , 0.0             , 0.0             , 0.0665079324    , 0.0             , 0.0             , 0.0             , 7448.0          , -12.00016005    , -10.21551606    , -10.71407243    , -7.534362674    , -14.02012155    , 15761.82561     
45              , 0.003113242992  , 0.009037993913  , 68.83509627     , -0.009290859291 , 0.6221274561    , 0.0             , 0.622131181     , 0.0             , 0.0             , 0.06724976684   , 0.0             , 0.0             , 0.0             , 6740.0          , -12.00030731    , -10.13018855    , -10.27223157    , -7.013940885    , -14.04223506    , 15761.82561     
46              , 0.003126021421  , 0.009037368257  , 68.83983413     , -0.00916344577  , 0.6221290875    , 0.0             , 0.6221309318    , 0.0             , 0.0             , 0.06842628107   , 0.0             , 0.0             , 0.0             , 7844.0          , -12.00035151    , -10.1674873     , -10.35587351    , -7.098078783    , -14.18471713    , 15761.82561     
