"PointID","x","y","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
1455, 1.051684617996220e-01, -4.102409225780759e-02, 7.291371518420156e-01, 5.090962470468895e+00, -5.138210760238732e+00
1481, 9.719923138618471e-02, -3.950388176258633e-02, 8.113358096089209e-01, 4.391109023601090e+00, -4.465173479566386e+00
1507, 8.964005112648010e-02, -3.798099338811293e-02, -4.148231132998320e-01, -2.300618333101454e+00, 2.336960660818633e+00
1533, 8.247101306915280e-02, -3.645941716015235e-02, -9.208768404433766e-02, -3.295525649221838e-01, 3.415833458085212e-01
1559, 7.564741373062130e-02, -3.494626223642189e-02, 3.081804134088060e-01, 1.660425569204791e+00, -1.687440682181879e+00
1585, 6.917616724967959e-02, -3.343907939945494e-02, 1.222037915298937e+00, 5.778911323827192e+00, -5.904987313236924e+00
1611, 6.298619508743290e-02, -3.194792397009584e-02, 6.019831667313187e-02, 1.962100999711457e-01, -2.049172123888573e-01
1637, 5.711802840232850e-02, -3.046453871545940e-02, -3.320668602026915e-01, -1.102924029335337e+00, 1.151029884367636e+00
1663, 5.161416530609130e-02, -2.898113860522902e-02, 5.593764596309361e-01, 2.212049065492793e+00, -2.281107809268197e+00
1689, 4.642483592033390e-02, -2.750421046617338e-02, 2.179802417707274e-01, 5.923002392679045e-01, -6.297250475945565e-01
1715, 4.156750440597530e-02, -2.602988136505166e-02, 4.245722404942307e-01, 1.488932593840038e+00, -1.547837327513752e+00
1741, 3.698146343231200e-02, -2.456452137639797e-02, 8.666812345321718e-01, 2.892745353437972e+00, -3.018776362308886e+00
1767, 3.265759348869320e-02, -2.310722521757000e-02, 1.852044051415994e-01, 4.346390210078324e-01, -4.713594572314371e-01
1793, 2.861636877059940e-02, -2.165468180692317e-02, -2.252976097657053e-02, -6.152550981229873e-02, 6.551897840721706e-02
1819, 2.490270137786870e-02, -2.020128520195207e-02, 6.318847294996410e-01, 1.680590460582039e+00, -1.794922520233910e+00
1845, 2.143678069114690e-02, -1.875355662937840e-02, 5.871020640139285e-01, 1.391596632126557e+00, -1.510324268237708e+00
1871, 1.820489764213560e-02, -1.731120766827714e-02, 1.762956868659261e-01, 3.076864011302171e-01, -3.533575204785848e-01
1897, 1.524919271469120e-02, -1.586996611003506e-02, 3.979264962384704e-01, 7.772450701151395e-01, -8.731866062497010e-01
1923, 1.256430149078370e-02, -1.442941149538678e-02, 3.262570257202453e-01, 5.595521220480687e-01, -6.476765848396265e-01
1949, 1.017087697982790e-02, -1.298793047306469e-02, 2.216088943107858e-01, 3.569358041850755e-01, -4.200930272588549e-01
1975, 8.062899112701419e-03, -1.154538591231508e-02, 2.451519430810989e-01, 3.640846650403459e-01, -4.386924654770968e-01
2001, 6.177186965942380e-03, -1.010463033449789e-02, 2.084557697997914e-01, 2.374060719849306e-01, -3.156102613661005e-01
