"Time_Iter","Outer_Iter","Inner_Iter",   "rms[A_Rho]"   ,   "rms[A_RhoU]"  ,   "rms[A_RhoV]"  ,    "rms[A_E]"    ,    "rms[A_nu]"   
          0,           0,         102,       -2.44141422,       -4.92203246,      -5.519020737,      -7.779270151,      -3.253766201
          0,           0,         103,      -2.440062274,       -4.91859384,      -5.522405532,      -7.779559705,      -3.254747244
          0,           0,         104,      -2.438624896,      -4.915013468,      -5.525427188,      -7.779907907,      -3.255741891
          0,           0,         105,      -2.437057527,      -4.911296544,      -5.528033309,      -7.780263365,      -3.256740878
          0,           0,         106,      -2.435321688,       -4.90744986,      -5.530176326,      -7.780577082,      -3.257734522
          0,           0,         107,       -2.43338607,      -4.903482026,      -5.531814821,      -7.780803561,      -3.258712826
          0,           0,         108,      -2.431227404,      -4.899403607,      -5.532914639,      -7.780901907,      -3.259665568
          0,           0,         109,      -2.428831055,       -4.89522717,      -5.533449719,      -7.780836853,      -3.260582398
          0,           0,         110,      -2.426191277,      -4.890967239,      -5.533402604,      -7.780579668,      -3.261452919
          0,           0,         111,      -2.423311122,      -4.886640151,      -5.532764628,       -7.78010887,      -3.262266772
          0,           0,         112,      -2.420201987,      -4.882263852,      -5.531535777,      -7.779410681,      -3.263013714
          0,           0,         113,      -2.416882835,       -4.87785761,      -5.529724279,      -7.778479208,      -3.263683704
          0,           0,         114,      -2.413379147,      -4.873441698,      -5.527345973,      -7.777316302,      -3.264266987
          0,           0,         115,      -2.409721657,      -4.869037036,      -5.524423541,      -7.775931111,      -3.264754187
          0,           0,         116,      -2.405944967,      -4.864664827,      -5.520985654,      -7.774339348,      -3.265136404
          0,           0,         117,      -2.402086107,      -4.860346196,      -5.517066114,      -7.772562318,      -3.265405327
          0,           0,         118,      -2.398183123,      -4.856101849,      -5.512703035,      -7.770625768,      -3.265553341
          0,           0,         119,      -2.394273751,      -4.851951759,      -5.507938083,      -7.768558613,      -3.265573655
          0,           0,         120,      -2.390394227,        -4.8479149,      -5.502815813,      -7.766391622,      -3.265460426
          0,           0,         121,       -2.38657826,      -4.844009019,      -5.497383076,      -7.764156127,      -3.265208883
          0,           0,         122,      -2.382856191,       -4.84025046,      -5.491688513,      -7.761882801,      -3.264815447
          0,           0,         123,      -2.379254347,      -4.836654038,      -5.485782088,      -7.759600552,      -3.264277845
          0,           0,         124,      -2.375794567,      -4.833232959,      -5.479714674,      -7.757335576,      -3.263595206
          0,           0,         125,       -2.37249391,      -4.829998786,       -5.47353765,      -7.755110568,      -3.262768137
