"PointID","x","y","Adjoint_Density","Adjoint_Momentum_x","Adjoint_Momentum_y","Adjoint_Energy","Adjoint_Nu_Tilde","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
1143, 2.344165146350860e-01, -5.849702532871569e-02, -2.076357035541440e+00, -4.136414862067107e-05, -9.456431809674378e-05, 1.771281109721824e-06, 3.285173298215698e-03, 9.751121208560775e-01, 1.136262076551312e+01, 1.140392981837588e+01
1169, 2.210974693298340e-01, -5.718351471520409e-02, -2.061358766266594e+00, -1.141361547890292e-05, 2.505937681470073e-05, 1.655116933658397e-06, 2.514681994633263e-03, 4.437541236902626e-01, 4.467966624728273e+00, 4.489936392452000e+00
1195, 2.082438766956330e-01, -5.583453133236301e-02, -1.941859388634706e+00, -6.987054635667914e-05, -3.342070477542070e-04, 4.915710700422541e-07, 2.602388327410997e-03, 3.821278636480906e-01, 4.811251421584989e+00, 4.824346659074792e+00
1221, 1.958884000778200e-01, -5.443890744899536e-02, -1.787320402404445e+00, -4.084920810083201e-05, 4.506372168369447e-05, 1.619797874523414e-06, 2.673034681745642e-03, 1.264443233171006e+00, 1.114166374509389e+01, 1.121312417543870e+01
1247, 1.840233504772190e-01, -5.300586065381049e-02, -1.774294874441729e+00, -1.265880147498270e-05, -3.704872675199384e-05, 9.259453200926877e-07, 1.822039542522161e-03, 7.344965056295302e-01, 6.230786241161504e+00, 6.273827111559715e+00
1273, 1.725961565971370e-01, -5.155864058741055e-02, -1.716202028151108e+00, -3.127201630340576e-05, -1.352750062867866e-04, 4.629318820608481e-07, 1.595373878126213e-03, 4.247116408846474e-01, 3.476772030647236e+00, 3.502514467704259e+00
1299, 1.616173982620240e-01, -5.009491151287113e-02, -1.615510786656920e+00, -3.433137101489649e-05, -9.315763704027406e-05, 6.746149436625902e-07, 1.637764171377116e-03, 6.470170291410553e-01, 4.746917363564709e+00, 4.790806599754832e+00
1325, 1.511152982711790e-01, -4.860674035917681e-02, -1.522269137082721e+00, -7.387575106116688e-06, 4.771455184220095e-05, 5.023990060378400e-07, 1.527348101173794e-03, 5.437696487194330e-01, 4.260669499324231e+00, 4.294593450035090e+00
1351, 1.410477757453920e-01, -4.710932820963108e-02, -1.420980851708382e+00, -4.424821431729143e-05, -1.280273507239052e-04, 1.942281220694228e-07, 1.534826485465038e-03, 9.384120969944156e-01, 6.574331014897091e+00, 6.640590038380965e+00
1377, 1.314679384231570e-01, -4.558829903130673e-02, -1.366301982941799e+00, 2.270576964301832e-06, 6.924662564633812e-05, 5.715388990847589e-07, 1.160831139854979e-03, 9.815323492652753e-01, 5.930193245274294e+00, 6.010835217372859e+00
