"Time_Iter","Outer_Iter","Inner_Iter",   "rms[A_Rho]"   ,   "rms[A_RhoU]"  ,   "rms[A_RhoV]"  ,    "rms[A_E]"    ,    "rms[A_nu]"   
          0,           0,          85,      -2.025792264,      -4.480717449,      -4.977251422,      -7.354824375,      -2.766631228
          0,           0,          86,      -2.018823715,      -4.480527149,       -4.98021432,      -7.347549379,      -2.766768027
          0,           0,          87,      -2.012359058,      -4.480077376,      -4.983341577,      -7.340894477,      -2.766943103
          0,           0,          88,      -2.006411724,      -4.479375929,      -4.986640656,      -7.334860152,       -2.76716243
          0,           0,          89,      -2.000985352,      -4.478432611,      -4.990115826,      -7.329441184,      -2.767431312
          0,           0,          90,      -1.996074604,      -4.477258477,      -4.993767249,      -7.324626998,      -2.767754319
          0,           0,          91,      -1.991665938,      -4.475865125,      -4.997590202,      -7.320401979,      -2.768135216
          0,           0,          92,      -1.987738344,       -4.47426406,       -5.00157445,      -7.316745766,      -2.768576885
          0,           0,          93,       -1.98426405,       -4.47246617,      -5.005703798,      -7.313633517,       -2.76908125
          0,           0,          94,      -1.981209191,      -4.470481318,      -5.009955831,      -7.311036166,      -2.769649217
          0,           0,          95,      -1.978534482,      -4.468318077,      -5.014301851,      -7.308920669,       -2.77028062
          0,           0,          96,      -1.976195909,      -4.465983594,       -5.01870701,      -7.307250256,      -2.770974188
          0,           0,          97,      -1.974145461,      -4.463483595,       -5.02313066,      -7.305984709,      -2.771727538
          0,           0,          98,      -1.972331934,      -4.460822511,      -5.027526896,      -7.305080674,      -2.772537187
          0,           0,          99,      -1.970701818,      -4.458003713,      -5.031845305,      -7.304492032,      -2.773398584
          0,           0,         100,      -1.969200288,      -4.455029833,      -5.036031909,       -7.30417034,      -2.774306167
          0,           0,         101,      -1.967772302,      -4.451903149,      -5.040030289,      -7.304065371,      -2.775253439
          0,           0,         102,       -1.96636379,      -4.448626006,      -5.043782865,      -7.304125747,      -2.776233055
          0,           0,         103,      -1.964922927,      -4.445201253,      -5.047232303,      -7.304299689,      -2.777236919
          0,           0,         104,      -1.963401427,      -4.441632655,      -5.050322991,      -7.304535876,      -2.778256288
          0,           0,         105,      -1.961755835,      -4.437925271,      -5.053002535,      -7.304784399,      -2.779281879
          0,           0,         106,      -1.959948732,      -4.434085772,      -5.055223201,       -7.30499779,      -2.780303974
          0,           0,         107,      -1.957949787,      -4.430122674,      -5.056943215,      -7.305132082,      -2.781312519
          0,           0,         108,        -1.9557366,      -4.426046486,       -5.05812787,      -7.305147866,      -2.782297219
          0,           0,         109,      -1.953295254,      -4.421869766,      -5.058750362,      -7.305011271,      -2.783247632
          0,           0,         110,      -1.950620551,      -4.417607069,      -5.058792327,      -7.304694819,       -2.78415325
          0,           0,         111,      -1.947715898,      -4.413274817,      -5.058244056,      -7.304178084,      -2.785003586
          0,           0,         112,      -1.944592847,      -4.408891079,      -5.057104402,      -7.303448118,      -2.785788251
          0,           0,         113,       -1.94127032,      -4.404475296,       -5.05538042,      -7.302499589,      -2.786497037
          0,           0,         114,      -1.937773568,      -4.400047946,      -5.053086784,      -7.301334632,      -2.787120009
          0,           0,         115,      -1.934132935,      -4.395630185,      -5.050245069,      -7.299962389,      -2.787647589
          0,           0,         116,      -1.930382495,      -4.391243475,      -5.046882938,      -7.298398299,      -2.788070666
