"PointID","x","y","Sensitivity_x","Sensitivity_y","Surface_Sensitivity"
805, 4.480717480182650e-01, -6.192926755612326e-02, -4.588978561002304e+00, 5.416280001763823e+01, -5.435506368993611e+01
831, 4.301885962486270e-01, -6.316446923071113e-02, -1.399534173610761e+00, 3.014929255215121e+01, -3.017836931369322e+01
857, 4.122794568538670e-01, -6.412870330793279e-02, -9.369631210913113e-01, 2.237429097819280e+01, -2.239372852760428e+01
883, 3.944020271301270e-01, -6.480376962985848e-02, -4.505050149064920e-01, 1.836400751978302e+01, -1.836937421245958e+01
909, 3.766198158264160e-01, -6.515167902448665e-02, -3.227807402510207e-01, 1.466953151570883e+01, -1.467224220952804e+01
935, 3.590588271617890e-01, -6.520314573115185e-02, 5.601669295655276e-01, 1.499348163157769e+01, -1.499631677687666e+01
961, 3.418258726596830e-01, -6.496169214270740e-02, 3.081711601160987e-01, 1.056838052271164e+01, -1.057249017432043e+01
987, 3.249974250793460e-01, -6.449983432643318e-02, 1.136061771381807e+00, 4.457186252274443e+01, -4.458460451729090e+01
1013, 3.086399734020230e-01, -6.382291180513797e-02, 3.022983815826076e-01, 7.847088169567680e+00, -7.852610358965467e+00
1039, 2.927811741828920e-01, -6.297734572371001e-02, -8.344110535521185e-01, -3.465238010242204e+01, 3.464225119006441e+01
1065, 2.774220108985900e-01, -6.200416226134410e-02, -1.023867615689720e+00, -1.971293900006058e+01, 1.973703941425786e+01
1091, 2.625653147697450e-01, -6.092814602811947e-02, 1.785942509676901e+00, 2.817725608313237e+01, -2.823120446363160e+01
1117, 2.482267022132870e-01, -5.975601082000362e-02, 2.332934681838074e+00, 3.238588003241112e+01, -3.246650564837985e+01
1143, 2.344165146350860e-01, -5.849702532871569e-02, -9.532381517666032e-01, -2.130815780834799e+01, 2.130298835594173e+01
1169, 2.210974693298340e-01, -5.718351471520409e-02, -2.183788812928856e+00, -2.523697990428585e+01, 2.532841300595719e+01
1195, 2.082438766956330e-01, -5.583453133236301e-02, 1.500901987382643e+00, 2.007554535317055e+01, -2.012005894391626e+01
1221, 1.958884000778200e-01, -5.443890744899536e-02, 2.608625128105125e+00, 2.109921743774401e+01, -2.125938160312177e+01
1247, 1.840233504772190e-01, -5.300586065381049e-02, -3.429583355835193e+00, -3.483347098673193e+01, 3.499105222243715e+01
1273, 1.725961565971370e-01, -5.155864058741055e-02, -5.199752947127407e-01, -1.161710164805411e+00, 1.219019841184504e+00
1299, 1.616173982620240e-01, -5.009491151287113e-02, 1.372516114506331e+00, 7.683479910556025e+00, -7.798798233984091e+00
1325, 1.511152982711790e-01, -4.860674035917681e-02, -7.574756973153077e-01, -4.971264252820075e+00, 5.028516089430386e+00
1351, 1.410477757453920e-01, -4.710932820963108e-02, 1.888409006516151e+00, 1.409769862630069e+01, -1.422097046142843e+01
