"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Nu_Tilde","Pressure","Temperature","Mach","Pressure_Coefficient","Velocity_x","Velocity_y","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus","Eddy_Viscosity"
2547, 1.542121171951290e-02, 9.901370965095980e-03, 2.975233986383277e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.716900156880637e+04, 0.000000000000000e+00, 2.686760062752254e+04, 3.145850668206322e+02, 0.000000000000000e+00, -7.557228441159981e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.914127875200700e-05, 6.074389302474085e-03, 1.623803718535387e-03, -1.812709232992173e+03, 2.788288990238710e+00, 0.000000000000000e+00
2573, 1.774638891220090e-02, 1.048966867576257e-02, 2.948561290008304e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.653205605833931e+04, 0.000000000000000e+00, 2.661282242333571e+04, 3.144206938701553e+02, 0.000000000000000e+00, -7.718871013891427e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.913367892846747e-05, 5.982635789079359e-03, 1.452120201033994e-03, -1.679487614603824e+03, 2.784175456458468e+00, 0.000000000000000e+00
2599, 2.023851871490480e-02, 1.107063967026438e-02, 2.943304385899972e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.640519150439255e+04, 0.000000000000000e+00, 2.656207660175702e+04, 3.143816525794080e+02, 0.000000000000000e+00, -7.751066409810525e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.913187355685152e-05, 5.893191416799321e-03, 1.314294132121338e-03, -1.595790797821216e+03, 2.786420426791143e+00, 0.000000000000000e+00
2625, 2.291005849838260e-02, 1.164126551987423e-02, 2.945018627633239e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.647301521415362e+04, 0.000000000000000e+00, 2.658920608566144e+04, 3.145195671714438e+02, 0.000000000000000e+00, -7.733854264096631e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.913825059453088e-05, 5.725509137372601e-03, 1.170870209800390e-03, -1.513540995667508e+03, 2.769708627473201e+00, 0.000000000000000e+00
2651, 2.576607465744020e-02, 1.220102832755850e-02, 2.967056259816716e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.701606733420037e+04, 0.000000000000000e+00, 2.680642693368014e+04, 3.147338788740436e+02, 0.000000000000000e+00, -7.596039740924539e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.914815742430629e-05, 5.528698647283765e-03, 1.045056280887767e-03, -1.407416960921003e+03, 2.751194246235124e+00, 0.000000000000000e+00
2677, 2.879580855369570e-02, 1.275381305690854e-02, 3.013664397467650e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.811889314210547e+04, 0.000000000000000e+00, 2.724755725684218e+04, 3.149655334011201e+02, 0.000000000000000e+00, -7.316167133401649e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.915886220563988e-05, 5.339528853967285e-03, 9.440056670211429e-04, -1.289847745601348e+03, 2.741311917195109e+00, 0.000000000000000e+00
2703, 3.199326992034910e-02, 1.330196958634868e-02, 3.075495998695902e-01, 0.000000000000000e+00, 0.000000000000000e+00, 6.957585156630070e+04, 0.000000000000000e+00, 2.783034062652027e+04, 3.152344703996147e+02, 0.000000000000000e+00, -6.946423561652513e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.917128494165619e-05, 5.137639845355939e-03, 8.502032412522047e-04, -1.171293670953285e+03, 2.730620104835635e+00, 0.000000000000000e+00
2729, 3.537228703498840e-02, 1.384212276508604e-02, 3.145599741958341e-01, 0.000000000000000e+00, 0.000000000000000e+00, 7.123423407912019e+04, 0.000000000000000e+00, 2.849369363164807e+04, 3.155554135529146e+02, 0.000000000000000e+00, -6.525563046051398e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.918610310108541e-05, 4.929022374199651e-03, 7.678331091827582e-04, -1.073271368642141e+03, 2.717915638803059e+00, 0.000000000000000e+00
2755, 3.891497850418090e-02, 1.438021931201432e-02, 3.208586046439121e-01, 0.000000000000000e+00, 0.000000000000000e+00, 7.273642161985899e+04, 0.000000000000000e+00, 2.909456864794359e+04, 3.158846901086179e+02, 0.000000000000000e+00, -6.144341332702502e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.920129828786738e-05, 4.775980503774911e-03, 7.169522429277904e-04, -1.040249870332018e+03, 2.711823669003885e+00, 0.000000000000000e+00
2781, 4.259017109870910e-02, 1.492564439265280e-02, 3.236389626484859e-01, 0.000000000000000e+00, 0.000000000000000e+00, 7.339082206667212e+04, 0.000000000000000e+00, 2.935632882666884e+04, 3.159885081537420e+02, 0.000000000000000e+00, -5.978269086205441e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.920608757653614e-05, 4.791163243798590e-03, 6.875762968752805e-04, -1.056413324590694e+03, 2.738822249288516e+00, 0.000000000000000e+00
